"RuleCollectionGroupName","RuleCollectionName","RuleName","RuleType","SourceAddress","SourceIpGroups","DestinationAddress","DestinationIpGroups","Protocols","DestinationPorts"
"UKS_London_Rules_Col_1","Allow_Azure_Private","Internal","NetworkRule","","/subscriptions/9a611467-2505-49e1-ae2e-d9c440d1391f/resourceGroups/LS-UKS-DEVTEST-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-DEVTEST-IP-ALLPROD /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-ALL-01","","/subscriptions/9a611467-2505-49e1-ae2e-d9c440d1391f/resourceGroups/LS-UKS-DEVTEST-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-DEVTEST-IP-ALLPROD /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-ALL-01","Any","*"
"UKS_London_Rules_Col_1","Allow_Azure_Private","Outbound_UKW","NetworkRule","","/subscriptions/9a611467-2505-49e1-ae2e-d9c440d1391f/resourceGroups/LS-UKS-DEVTEST-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-DEVTEST-IP-ALLPROD /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-ALL-01","","/subscriptions/3f560080-9ada-4338-a5ca-29b4fe707fe5/resourceGroups/LS-UKW-DR-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKW-PRD-IP-ALLPROD-01","Any","*"
"UKS_London_Rules_Col_1","Allow_Azure_Private","Inbound_UKW","NetworkRule","","/subscriptions/3f560080-9ada-4338-a5ca-29b4fe707fe5/resourceGroups/LS-UKW-DR-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKW-PRD-IP-ALLPROD-01","","/subscriptions/9a611467-2505-49e1-ae2e-d9c440d1391f/resourceGroups/LS-UKS-DEVTEST-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-DEVTEST-IP-ALLPROD /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-ALL-01","Any","*"
"UKS_London_Rules_Col_1","Allow_VMX_Outbound","VMX_Outbound","NetworkRule","10.56.15.0/28","","*","","TCP UDP Any","*"
"UKS_London_Rules_Col_1","Allow_Zerto_Replication","ACP_Zerto_Inbound","NetworkRule","*","","10.55.30.4 10.55.90.0/24","","Any","*"
"UKS_London_Rules_Col_1","Allow_Zerto_Replication","Azure_Zerto_Outbound","NetworkRule","10.55.30.4 10.55.90.0/24","","*","","Any","*"
"UKS_London_Rules_Col_1","Allow_DevTest_Outbound","Allow_Internet_Outbound","NetworkRule","10.66.10.0/24","","*","","Any","*"
"UKS_London_Rules_Col_1","Allow_DevTest_Outbound","Allow_DevTest_UKW","NetworkRule","10.66.10.0/24","","10.77.0.0/24","","Any","*"
"UKS_London_Rules_Col_1","Allow_DevTest_Outbound","Allow_UKW_DevTest","NetworkRule","10.77.0.0/24","","10.66.10.0/24","","Any","*"
"UKS_London_Rules_Col_1","Allow_AOVPN_to_VNets","Allow_AOVPN_Traffic","NetworkRule","10.55.20.0/22 10.77.20.0/22 10.77.20.0/22","","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/Belfast-LAN-IP /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/Cardiff-IP-LAN /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/Dublin-IP-LAN /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/HongKong-IP-LAN /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/London-IP-LAN /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/Oxford-IP-LAN /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-ALL-01 /subscriptions/9a611467-2505-49e1-ae2e-d9c440d1391f/resourceGroups/LS-UKS-DEVTEST-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-DEVTEST-IP-ALLPROD /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-DMZ-01 /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-ALLPROD-01 /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/Manchester-IP-LAN /subscriptions/3f560080-9ada-4338-a5ca-29b4fe707fe5/resourceGroups/LS-UKW-DR-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKW-PRD-IP-ALLPROD-01","Any","*"
